번호,뉴스 제목,링크,기사 요약
31,"[6·3 대선] 김문수 ""尹 출당 계획 없다…당도 책임 있어""",https://n.news.naver.com/article/629/0000389347,"13일 대구경북 선대위 출정식""탈당하라고 하는 것, 도리 아냐""""탈당 여부, 尹 본인의 뜻
""김문수 국민의힘 대선 후보가 13일 윤석열 전 대통령에 대한 출당 조치 계획이 없다고 밝
혔다. /대구=임영무 기자김문수 국민의힘 대선 후보가 13일 윤석열 전 대통령에 대한 출당"
32,"이재명 캠프에 홍준표?…""진짜 대한민국 위해서는 힘 합치면 좋을 듯""",https://n.news.naver.com/article/029/0002954106,"이재명 더불어민주당 대선 후보가 12일 경기 동탄시에서 유권자들에게 지지를 호소하고 있다.
 안소현 기자조승래 더불어민주당 선거대책위원회 수석대변인은 13일 ""합리적인 보수들의 역할
이 있어서 진짜 대한민국을 만들기 위해서는 이 분들(홍준표 전 대구시장 및 지지자들)까지 "
33,"안철수, 홍준표 지지그룹 '李 지지 선언'에 ""홍 전 시장님, 제지해달라"" 호소",https://n.news.naver.com/article/656/0000131909,"안철수 국민의힘 공동선거대책위원장. 연합뉴스.홍준표 전 대구시장의 핵심 지지그룹이 이재명 
더불어민주당 대선 후보의 지지를 선언한 것과 관련, 안철수 국민의힘 공동선거대책위원장이 홍
 시장을 향해 ""그런 흐름을 단호히 제지해 주셔야 한다""고 호소했다.안 위원장은 13일 자"
34,'이재명 49.5% 김문수 38.2%'…후보 확정 후 첫 여조[한길리서치](종합),https://n.news.naver.com/article/018/0006012267,"11~12일 글로벌이코노믹 의뢰로 ARS 방식 조사이재명 49.5% 김문수 38.2% 이준
석 5.7%‘민주당 중심 정권교체’ 51.1%…반드시 투표 77.5%‘尹 국힘 탈당해야’ 
58.4%…민주 42.5% 국힘 36.8%[이데일리 조용석 기자] 대선 후보 공식 등록 후"
35,"대법원장 특검 발의, 이재명 집권 후 사법부 압박 포석?",https://n.news.naver.com/article/014/0005348816,"李재판 연기에 사법부 압박 속도조절그럼에도 발의된 대법원장 특검법대선後 의총서 당론 채택 
논의 예정무죄 재판만 진행法 처리하는 동안사법부 변수 차단할 수단 준비 분석왼쪽부터 조희대
 대법원장, 이재명 더불어민주당 대선후보. /사진=뉴시스[파이낸셜뉴스] 이재강 더불어민주당"
36,"김문수 ""尹 탈당 여부 본인의 뜻…출당은 생각해본 적 없어""",https://n.news.naver.com/article/448/0000527278,"국민의힘 김문수 대선 후보가 13일 국민의힘 대구시당에서 열린 대구경북 선대위 출정식 및 
임명장 수여식에서 피켓팅을 하고 있다. /연합뉴스국민의힘 김문수 대선 후보가 13일 윤석열
 전 대통령의 탈당 여부에 대해 ""본인의 뜻""이라고 선을 그었다.김 후보는 이날 대구·경북"
37,"‘홍준표 지지모임’ 회원들, 이재명 지지선언···“국민의힘은 보수 아냐”",https://n.news.naver.com/article/033/0000048798,"홍준표 전 국민의힘 대선 후보 지지모임 회원들과 이언주 이재명 캠프 공동선대위원장이 13일
 여의도 더불어민주당 당사에서 이재명 대선 후보 지지선언을 한 후 기념 촬영을 하고 있다.
 한수빈 기자국민의힘을 탈당한 홍준표 전 대구시장의 지지자 모임인 ‘홍사모’ ‘홍사랑’ ‘"
38,이재명 49.5%·김문수 38.2%…대선후보 등록 후 첫 조사ㅣ한길리서치,https://n.news.naver.com/article/437/0000440569,"정당 지지도…민주 42.5%·국힘 36.8%·개혁신당 3.9%이재명 더불어민주당 대선 후보
, 김문수 국민의힘 대선 후보, 이준석 개혁신당 대선 후보(왼쪽부터). 〈자료사진=연합뉴스
〉대선 후보 공식 등록 후 이뤄진 첫 여론조사에서 이재명 더불어민주당 후보의 지지율이 김문"
39,"이재명 49.5%, 김문수 38.2%⋯격차 좁혀져 [한길리서치]",https://n.news.naver.com/article/031/0000931692,"제21대 대통령 선거의 공식 후보 등록 이후 발표된 '대통령 후보 지지도' 여론조사에서 김
문수 국민의힘 대선 후보가 이재명 더불어민주당 대선 후보와의 격차를 좁혔다.13일 여론조사
 전문기관 한길리서치는 글로벌이코노믹 의뢰로 지난 11일부터 12일까지 이틀간 전국 만 1"
40,이재명·이준석·김문수 ‘홍준표심’ 쟁탈전 각축···하와이 간 홍준표 “내 역할 없다”,https://n.news.naver.com/article/032/0003369153,"홍준표 전 대구시장이 지난달 29일 서울 여의도 국민의힘 당사에서 열린 국민의힘 대선 3차
 경선 진출자 발표 행사에서 탈락한 뒤 퇴장하고 있다. 국회사진기자단국민의힘 대선 경선에서
 탈락한 홍준표 전 대구시장의 지지를 얻으려는 여야 주요 대선 후보들의 각축이 치열하다. "
41,"홍준표 지지자들, 이재명 지지 선언...""국힘, 보수 자격 없어""",https://n.news.naver.com/article/655/0000025160,"홍준표 전 대구시장을 지지하는 '홍사모', '홍사랑' 등 일부 모임과 대선 경선 선거대책위
원회 캠프 관계자들이 13일 이재명 더불어민주당 대선 후보에 대한 지지를 선언했습니다.홍사
모·홍사랑·국민통합연대 등 모임과 홍준표 캠프 출신 관계자들로 구성된 '홍준표와 함께한 사"
42,"""죽어서 딸 만나고파""…'서천 묻지마 살인' 피해자 부친의 절규",https://n.news.naver.com/article/586/0000103232,"범인 이지현, 코인 투자로 거액 잃자 신변 비관…일면식 없는 여성 살해이지현 측, 첫 재판
서 정신감정 신청…""범행 당시 심신미약""‘서천 묻지마 살인사건’의 피의자 이지현(34)의 
머그샷 ⓒ충남경찰청 제공일면식도 없는 여성을 길거리에서 잔혹하게 살해한 이지현(34)의 첫"
43,"이재명·김문수, 모두 ‘제4 인터넷은행’ 공감하지만… 미묘한 '역할' 변화",https://n.news.naver.com/article/138/0002196423,"[디지털데일리 박기록기자] ‘6.3 대선’을 앞두고 윤 정부에서 진행됐던 주요 금융정책이 
차기 정부에서 어느정도 연속성을 갖게될지 관심이 모아지고 있다.이런 가운데 일정상 대선 직
후에 심사가 완료될 예정인 ‘제 4 인터넷전문은행’과 관련해, 일단 대선 주자들은 긍정적인"
44,"이준석, 김문수 계엄 사과에 ""옆구리 찔려서 하는 발언 의미 없어""",https://n.news.naver.com/article/057/0001886022,"""김문수, 전광훈 목사와의 빅텐트는 해도 좋을 것""이준석 개혁신당 대선 후보가 김문수 국민
의힘 대선 후보의 어제 '계엄 사과' 발언에 대해 ""국민들 민심이 매섭기 때문에 옆구리 찔
려서 하는 발언에 큰 의미는 없다고 생각한다""고 밝혔습니다.이 후보는 오늘(13일) 경북대"
45,"""어쩌다가"".. 선거운동 시작하자 '망언 승부' 겨루는 이재명·김문수  캠프",https://n.news.naver.com/article/661/0000055114,"민주-국힘, 상대 후보 겨냥한 '망언집' 발간민주 ""전광훈이 자유민주주의 수호 목사냐""국힘
 ""형수 욕설은 듣는 이조차 부끄러워져""공식 선거운동 시작되며 내거티브 공방 가속화국민의힘
이 발간한 '이재명 망언집'(왼쪽)과 더불어민주당이 발간한 '진짜 망언집-김문수편'대선 공"
46,[단독]민주 ‘여성 출산 가산점’ 언급한 의원 징계 검토,https://n.news.naver.com/article/020/0003634539,"10대 공약 중 ‘男군복무 경력 호봉 반영’에 여성들 불만친명 의원 “출산 가산점도 있을 
것” 답변 SNS 확산“출산 안 한 여성은 뭐냐” 되레 반발 커져…李, 문책 시사더불어민주
당이 이재명 대선후보가 제출한 10대 공약 중 ‘남성 군복무 경력 호봉 반영’이 포함된 것"
47,"""이재명 암살 구체적 제보…사거리 2㎞ '괴물 소총' 밀반입""",https://n.news.naver.com/article/088/0000947441,"더불어민주당 이재명 대선 후보가 6·3 대통령선거 공식 선거운동 첫날인 12일 서울 광화문
 청계광장에서 열린 중앙선대위 출정식 및 첫 유세에서 방탄복 위에 선대위 점퍼를 입고 있다
. 연합뉴스더불어민주당이 이재명 대선 후보의 암살 테러에 대한 구체적 제보가 접수되고 있다"
48,[속보] ‘손자 사망’ 급발진 소송서 운전자 패소…법원 “페달 오조작”,https://n.news.naver.com/article/009/0005491467,"지난 2022년 12월 급발진 의심 사고 당시 모습. [사진 출처 = 연합뉴스]지난 202
2년 12월 강원 강릉지역에서 발생한 차량 급발진 의심 사고로 손자인 이도현군(사망 당시 
12세)을 잃은 60대 할머니와 가족들이 자동차 제조사를 상대로 제기한 손해배상 소송에서 "
49,"중국, 전략 산업 ‘수직계열화’로 글로벌시장 지배력 키워",https://n.news.naver.com/article/037/0000036327,"전기차 생태계 자립 이어 반도체산업 육성 국가 과제 설정중국 광둥성 선전에 있는 비야디(B
YD) 본사.  BYD 제공수직계열화(vertical integration)란 본래 한 기
업이 상품을 제공하고자 생산과 유통 과정에서 필요한 여러 활동을 자체적으로 수행하는 것을 "
50,"김문수, 11.3%포인트 격차로 이재명 추격",https://n.news.naver.com/article/053/0000049833,"제21대 대통령선거 공식 선거운동 첫날인 5월 12일 오전, 김문수 국민의힘 대선 후보가 
서울 송파구 가락시장을 방문해 순대국밥이 나오기를 기다리며 상인들과 대화하고 있다. 뒤로 
이재명 더불어민주당 대선 후보 관련 뉴스가 송출되고 있다. photo 뉴시스지난 11일 대"
51,"美하원, 전기차 세액공제 폐지 법안 발의…""가격 급등·업계 타격 우려""",https://n.news.naver.com/article/123/0002358890,"◆…미국 하원이 전기차(EV) 세액공제를 단계적으로 폐지하는 내용의 법안을 발의하면서, 전
기차(EV) 수요를 견인하던 핵심 보조금이 사라질 위기에 놓였다.<사진 로이터>미국 하원이
 전기차(EV) 세액공제를 순차적으로 폐지하는 법안을 발의하면서, 그간 전기차 수요를 이끌"
52,'영남 격돌'…李 '보수텃밭' 공략 vs 金 '집토끼' 표심 굳히기,https://n.news.naver.com/article/422/0000739990,"[앵커]대선 공식 선거운동 이틀차인 오늘 이재명 후보와 김문수 후보가 보수 텃밭인 TK 지
역을 방문했습니다.이재명 후보는 경북 구미를 거쳐 보수의 심장인 대구를 찾는데요.먼저 민주
당 이재명 대선후보 유세 현장으로 가보겠습니다.취재 기자 연결합니다.방준혁 기자![기자]네"
53,"매입주체 호반호텔앤리조트, 한진칼 지분 '최대 3.4%' 추가 취득 가능",https://n.news.naver.com/article/293/0000067249,"/사진=호반건설호반건설이 한진칼 지분을 추가 매수하면서 최대주주인 조원태 한진칼 회장과의 
격차를 좁혔다. 호반건설이 호반호텔앤드리조트를 비롯한 계열사를 활용해 지분을 추가 매입할 
가능성이 상존하는 만큼 경영권분쟁이 발생할 여지도 있다.13일 업계에 따르면 호반건설은 1"
54,"ICAO ""러, 말레이 여객기 격추에 책임""…네덜란드·호주 ""환영"" 속 말레이는 침묵",https://n.news.naver.com/article/002/0002388140,"ICAO,  네덜란드·호주 제기한 소송에서 ""2014년 말레이시아항공 MH17편 격추, 러
시아가 협약 위반"" 결론지난 2014년 우크라이나 동부 지역에서 친 러시아군이 발사한 미사
일에 격추된 말레이시아항공 MH17편 추락 사고와 관련, 국제민간항공기구(ICAO)는 러시"
55,강릉 급발진 의심사고 운전자 패소…법원 “페달 오조작”,https://n.news.naver.com/article/005/0001775916,"2022년 12월 강원도 강릉에서 발생한 차량 급발진 의심 사고 현장. 강릉소방서 제공20
22년 12월 강원도 강릉시에서 발생한 차량 급발진 의심사고로 손자인 이도현군(당시 12세
)을 잃은 70대 할머니와 가족들이 자동차 제조사를 상대로 제기한 손해배상 소송에서 패소했"
56,"이재명 ""박정희 공도 있어"" 김문수 ""난 거짓말 안해""…TK 쟁탈전",https://n.news.naver.com/article/421/0008246742,"이준석, 출근길 피켓유세·경북대 학생들과 학식 '젊음' 강조이재명 더불어민주당 대통령 후보
가 제21대 대통령 선거 공식 선거운동 첫날인 12일 오후 대전 중구 으능정이거리 스카이로
드에서 유세에 앞서 두팔을 들어보이고 있다. (공동취재) 2025.5.12/뉴스1 ⓒ Ne"
57,"'여성 출산가산점' 언급한 민주 김문수, 선대위 부본부장직 사퇴",https://n.news.naver.com/article/214/0001423870,"더불어민주당 김문수 의원 [자료사진]더불어민주당 이재명 캠프 소속인 김문수 유세본부장이, 
'여성 공약으로 출산가산점 정책이 있을 것'이라고 발언했다 논란이 일자, 캠프 본부장직을 
사퇴했습니다.김 의원은 SNS에 ""최근 개인 메시지가 유출돼 많은 분께 불편과 심려를 끼쳐"
58,"""역대 가장 얇은 갤럭시"" 5년 만에 신제품 나온 삼성…'S25 엣지'로 비수기 돌파",https://n.news.naver.com/article/050/0000090722,"삼성전자가 역대 갤럭시 S 시리즈 중 가장 얇은 '갤럭시S25 엣지'를 13일 공개했다. 
삼성전자가 2020년 갤럭시Z플립을 선보인 후 5년 만에 새롭게 선보이는 플래그십 스마트폰
이다. 1분기 회사 실적을 이끈 갤럭시 S25 시리즈에 이어, 2분기 공략 카드로 S25 "
59,"[속보]이재명 ""박정희, 산업화 이끈 공도 있어"" 김문수 ""무덤에 침 뱉던 제가 꽃을 바친다""…대선주자들, TK 공략",https://n.news.naver.com/article/087/0001116293,"이준석, 경북대서 학생들과 점심…'젊음'·'소통' 강조◇더불어민주당 이재명, 국민의힘 김문
수, 개혁신당 이준석 후보. 사진=연합뉴스제21대 대통령 선거 공식 선거운동 이틀째인 13
일 주요 대선주자들이 일제히 대구·경북(TK) 공략에 나서며 한 표를 호소했다.더불어민주당"
60,자취 감춘 ‘여성·성평등’ 공약…“정치는 여성 유권자에 응답하라”,https://n.news.naver.com/article/310/0000125681,"[21대 대선, 여성 유권자가 말한다]여성신문·한국YWCA연합회·한국여성단체연합·한국여성정
치연구소 주최“2030 여성, 대선 움직이는 핵심 유권자…정치가 응답할 차례”12일 오후 
서울YWCA회관에서 여성신문 주최 '2030 여성 정책토론회'가 진행됐다. 왼쪽부터 조은영"
61,"LS와 분쟁중인 호반, 이번엔 한진칼 지분 18.46%까지 확대",https://n.news.naver.com/article/024/0000097115,"‘재계 좌충우돌’ 호반그룹, 한진칼 지분 추가 매입조원태 측 19.96%·호반 18.46%
…격차 1.5%p호반건설 사옥 전경. (출처=호반건설)호반건설이 대한항공을 계열사로 둔 한
진그룹의 지주사 한진칼 지분을 18% 이상까지 끌어올렸다. 호반건설은 한진칼 2대 주주로,"
62,[속보] ‘손자 사망’ 급발진 운전자 패소…법원 “페달 오조작”,https://n.news.naver.com/article/081/0003540845,"2022년 12월 강원 강릉에서 이도현(사망 당시 12세)군이 숨진 차량 급발진 의심 사고
 당시 모습. 강릉소방서 제공2022년 12월 강원 강릉에서 이도현(사망 당시 12세)군이
 숨진 차량 급발진 의심 사고의 책임 소재를 둘러싼 민사소송에서 법원이 운전자의 페달 오조"
63,새마을금고 직원과 짜고 건축주 몰래 35억 대출,https://n.news.naver.com/article/659/0000033092,"오류: HTTPSConnectionPool(host='n.news.naver.com', port=443): Read timed out."
